lote,data,acao,motivo,familia,especie,taxonomista,codigo,arquivo_local,arquivo_online,codigo_relacionado,arquivo_local_relacionado,arquivo_online_relacionado
nao_exsicata,2026-09-10,remover,nao_exsicata,Meliaceae,Trichilia pallida,T.D. Pennington,MO0100426886,./10familias/Meliaceae/Trichilia_pallida/MO0100426886.jpg,Meliaceae/Trichilia_pallida/MO0100426886.jpg,HCF000029052,./10familias/Meliaceae/Trichilia_pallida/HCF000029052.jpg,Meliaceae/Trichilia_pallida/HCF000029052.jpg
nao_exsicata,2026-09-10,adicionar,substituta,Meliaceae,Trichilia pallida,T.D. Pennington,HCF000029052,./10familias/Meliaceae/Trichilia_pallida/HCF000029052.jpg,Meliaceae/Trichilia_pallida/HCF000029052.jpg,MO0100426886,./10familias/Meliaceae/Trichilia_pallida/MO0100426886.jpg,Meliaceae/Trichilia_pallida/MO0100426886.jpg
nao_exsicata,2026-09-10,remover,nao_exsicata,Meliaceae,Trichilia pallida,T.D. Pennington,MO0100426890,./10familias/Meliaceae/Trichilia_pallida/MO0100426890.jpg,Meliaceae/Trichilia_pallida/MO0100426890.jpg,NY01143027_01,./10familias/Meliaceae/Trichilia_pallida/NY01143027_01.jpg,Meliaceae/Trichilia_pallida/NY01143027_01.jpg
nao_exsicata,2026-09-10,adicionar,substituta,Meliaceae,Trichilia pallida,T.D. Pennington,NY01143027_01,./10familias/Meliaceae/Trichilia_pallida/NY01143027_01.jpg,Meliaceae/Trichilia_pallida/NY01143027_01.jpg,MO0100426890,./10familias/Meliaceae/Trichilia_pallida/MO0100426890.jpg,Meliaceae/Trichilia_pallida/MO0100426890.jpg
nao_exsicata,2026-09-10,remover,nao_exsicata,Meliaceae,Guarea kunthiana,T.D. Pennington,MO0100449214,./10familias/Meliaceae/Guarea_kunthiana/MO0100449214.jpg,Meliaceae/Guarea_kunthiana/MO0100449214.jpg,NY01142451_01,./10familias/Meliaceae/Guarea_kunthiana/NY01142451_01.jpg,Meliaceae/Guarea_kunthiana/NY01142451_01.jpg
nao_exsicata,2026-09-10,adicionar,substituta,Meliaceae,Guarea kunthiana,T.D. Pennington,NY01142451_01,./10familias/Meliaceae/Guarea_kunthiana/NY01142451_01.jpg,Meliaceae/Guarea_kunthiana/NY01142451_01.jpg,MO0100449214,./10familias/Meliaceae/Guarea_kunthiana/MO0100449214.jpg,Meliaceae/Guarea_kunthiana/MO0100449214.jpg
sem_chave_coleta,2026-09-10,remover,coletor_ou_numero_ausente,Lauraceae,Nectandra megapotamica,M.L. Brotto,MBM349422,./10familias/Lauraceae/Nectandra_megapotamica/MBM349422.jpg,Lauraceae/Nectandra_megapotamica/MBM349422.jpg,HCF000006188,./10familias/Lauraceae/Nectandra_megapotamica/HCF000006188.jpg,Lauraceae/Nectandra_megapotamica/HCF000006188.jpg
sem_chave_coleta,2026-09-10,adicionar,substituta,Lauraceae,Nectandra megapotamica,M.L. Brotto,HCF000006188,./10familias/Lauraceae/Nectandra_megapotamica/HCF000006188.jpg,Lauraceae/Nectandra_megapotamica/HCF000006188.jpg,MBM349422,./10familias/Lauraceae/Nectandra_megapotamica/MBM349422.jpg,Lauraceae/Nectandra_megapotamica/MBM349422.jpg
sem_chave_coleta,2026-09-10,remover,coletor_ou_numero_ausente,Lauraceae,Ocotea puberula,M.L. Brotto,DVPR000907,./10familias/Lauraceae/Ocotea_puberula/DVPR000907.jpg,Lauraceae/Ocotea_puberula/DVPR000907.jpg,HCF000005497,./10familias/Lauraceae/Ocotea_puberula/HCF000005497.jpg,Lauraceae/Ocotea_puberula/HCF000005497.jpg
sem_chave_coleta,2026-09-10,adicionar,substituta,Lauraceae,Ocotea puberula,M.L. Brotto,HCF000005497,./10familias/Lauraceae/Ocotea_puberula/HCF000005497.jpg,Lauraceae/Ocotea_puberula/HCF000005497.jpg,DVPR000907,./10familias/Lauraceae/Ocotea_puberula/DVPR000907.jpg,Lauraceae/Ocotea_puberula/DVPR000907.jpg
sem_chave_coleta,2026-09-10,remover,coletor_ou_numero_ausente,Lauraceae,Nectandra lanceolata,M.L. Brotto,DVPR001003,./10familias/Lauraceae/Nectandra_lanceolata/DVPR001003.jpg,Lauraceae/Nectandra_lanceolata/DVPR001003.jpg,HRCB078153,./10familias/Lauraceae/Nectandra_lanceolata/HRCB078153.jpg,Lauraceae/Nectandra_lanceolata/HRCB078153.jpg
